,location,industry,experience,skills,salary
334,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 71 500 руб. до вычета налогов
335,Воронеж,"['Управление персоналом, тренинги']",1–3 года,,от 29 000 руб. до вычета налогов
336,Екатеринбург,"['Информационные технологии, интернет, телеком']",1–3 года,,от 50 000 до 60 000 руб. на руки
337,Санкт-Петербург,['Продажи'],1–3 года,Телефонные переговоры Электронная почта 1С: Предприятие 8 B2B Продажи Немецкий язык Активные продажи Высшее образование Консультирование клиентов по телефону Пользователь ПК Подготовка коммерческих предложений Привлечение клиентов,от 70 000 руб. на руки
338,Челябинск,"['Административный персонал', 'Продажи']",не требуется,,от 25 000 руб. до вычета налогов
339,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",не требуется,Коммуникабельность Любовь к продажам Активность Обучаемость,от 30 000 руб. на руки
340,Санкт-Петербург,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B,от 65 000 до 125 000 руб. на руки
341,Санкт-Петербург,['Продажи'],1–3 года,,от 70 000 до 140 000 руб. на руки
342,Москва,"['Строительство, недвижимость', 'Рабочий персонал']",1–3 года,Автоматизация технологических процессов Мобильность Чтение электросхем 3 группа по электробезопасности КИПиА,от 73 000 руб. до вычета налогов
343,Воронеж,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Грузовой транспорт Водитель Водительское удостоверение категории BCDE,от 85 000 до 105 000 руб. до вычета налогов
344,Нижний Новгород,"['Информационные технологии, интернет, телеком']",1–3 года,Администрирование серверов Linux Apache HTTP Server MySQL PHP HTML CSS,от 55 000 до 80 000 руб. на руки
345,Краснодар,"['Управление персоналом, тренинги']",1–3 года,,от 29 000 руб. до вычета налогов
346,деревня Дубровки,['Продажи'],не требуется,Английский — A1 — Начальный Отличные переговорные навыки Активность Инициативность Стрессоустойчивость Нацеленность на результат,от 70 000 руб. на руки
347,Москва,['Продажи'],не требуется,Жилая недвижимость Загородная недвижимость Коммерческая недвижимость Элитная недвижимость Активные продажи Деловая переписка Прямые продажи Навыки продаж Заключение договоров Вторичная недвижимость продажа недвижимости Подбор недвижимости по запросу клиента Оценка недвижимости Агентские продажи Грамотная речь Деловая коммуникация,от 230 000 руб. на руки
