,location,industry,experience,skills,salary
0,село Петровское,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,от 74 000 руб. до вычета налогов
1,Москва,"['Транспорт, логистика']",не требуется,Автомобильные грузоперевозки Работа в команде Грамотная речь Деловое общение Обучение и развитие,от 80 000 руб. на руки
2,Москва,"['Рабочий персонал', 'Транспорт, логистика']",1–3 года,,от 97 000 до 150 000 руб. на руки
3,Москва,['Продажи'],1–3 года,,от 80 000 руб. до вычета налогов
4,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,оформление заказов Точность и внимательность к деталям Электронная почта Способность обучать других Навыки работы с первичной документацией,от 50 000 руб. до вычета налогов
5,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,"Пользователь ПК Работа в команде Выкладка товаров Обслуживание покупателей Умение работать в команде Розничная торговля Коммуникабельность, стрессоустойчивость Планирование карьеры",от 50 000 до 60 000 руб. до вычета налогов
6,Москва,"['Рабочий персонал', 'Строительство, недвижимость']",не требуется,,от 60 000 до 70 000 руб. до вычета налогов
7,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,сборка заказов,от 65 000 до 65 000 руб. на руки
8,Москва,"['Безопасность', 'Банки, инвестиции, лизинг']",не требуется,Работа в команде Проведение ревизий Работа с документами Умение принимать решения MS Access,от 66 000 до 72 000 руб. до вычета налогов
9,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,от 88 000 до 116 000 руб. на руки
10,Москва,['Безопасность'],не требуется,Охрана объекта Умение работать в команде,от 50 000 до 60 000 руб. на руки
11,Санкт-Петербург,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",не требуется,Навыки межличностного общения Проведение презентаций Телефонные переговоры Организаторские навыки Грамотная речь Консультирование клиентов по телефону Консультирование клиентов Клиентоориентированность Ориентация на результат Стоматология Умение планировать Работа в условиях многозадачности Поиск информации в интернет Знание MS Office Сдержанность Навыки разрешения спорных ситуаций Управление временем Организационная осведомленность Эффективное принятие решений Желание учиться и развиваться,от 60 000 до 80 000 руб. до вычета налогов
12,Санкт-Петербург,"['Маркетинг, реклама, PR', 'Административный персонал', 'Начало карьеры, студенты']",не требуется,Целеустремленность Ориентация на результат Коммуникабельность Работа в команде Ответственность Пунктуальность курьер Знание устройства автомобиля Транспортная логистика,от 70 000 до 165 000 руб. на руки
13,Ростов-на-Дону,"['Рабочий персонал', 'Транспорт, логистика']",1–3 года,Работа на складе Упаковка товара Формирование посылок,от 45 000 до 45 000 руб. на руки
14,Екатеринбург,"['Административный персонал', 'Продажи']",не требуется,Работа в команде Опытный пользовать ПК Продажи Удаленная работа Пользователь ПК входящие звонки Многозадачность,от 50 000 до 100 000 руб. на руки
15,Москва,['Продажи'],1–3 года,Активные продажи Теплые звонки Навыки работы с возражениями Привлечение клиентов B2B Продажи Знание техники продаж телефонные продажи,от 70 000 до 130 000 руб. на руки
16,Москва,"['Медицина, фармацевтика']",не требуется,Медицинская документация Работа в команде Работа с большим объемом информации Медицинское оборудование Взятие крови Взятие мазков Работа с кассой Владение компьютером,от 65 000 до 80 000 руб. на руки
17,Москва,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Работа в команде,от 67 000 до 90 000 руб. на руки
18,Москва,['Административный персонал'],не требуется,Английский язык Организаторские навыки Работа в команде MS PowerPoint Креативность,от 90 000 до 130 000 руб. до вычета налогов
19,Москва,['Продажи'],1–3 года,Активные продажи Навыки телефонных продаж Навыки продаж Работа с возражениями Оценка потребностей клиентов B2B Продажи Агентские продажи реализация товаров и услуг amoCRM Работа с существующей базой клиентов Продажи юридическим лицам Ведение активных клиентов Ведение клиентской базы Опыт продаж Навыки работы с возражениями Ориентация на результат Холодные звонки Продажи телефонные продажи Ведение переговоров Грамотная речь Прямые продажи Телефонные переговоры Заключение договоров Деловая переписка Умение работать в команде Планирование продаж Холодные продажи,от 50 000 до 724 000 руб. на руки
20,Москва,"['Административный персонал', 'Продажи']",не требуется,,от 43 500 руб. до вычета налогов
21,Москва,['Административный персонал'],3–6 лет,Написание текстов Написание пресс-релизов Написание статей Грамотная речь PR,от 100 000 руб. на руки
22,Санкт-Петербург,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B,от 110 000 до 150 000 руб. на руки
23,Москва,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",1–3 года,,от 100 000 руб. на руки
24,Москва,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",не требуется,Грамотная речь Работа в команде Прием и распределение телефонных звонков Клиентоориентированность Администрирование Консультирование клиентов по телефону,от 60 000 до 100 000 руб. на руки
25,Москва,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Слесарные работы,от 120 000 до 160 000 руб. на руки
26,Москва,"['Маркетинг, реклама, PR']",1–3 года,Пользователь ПК Грамотная речь Работа в команде Грамотность Английский язык Смм Продажи,от 50 000 руб. на руки
27,Москва,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Пользователь ПК Работа в команде Работа с базами данных Работа с оргтехникой Точность и внимательность к деталям,от 45 000 до 50 000 руб. на руки
28,Санкт-Петербург,"['Транспорт, логистика']",не требуется,Пользователь ПК Мобильность Работа в команде Грамотная речь Водительское удостоверение категории B,от 110 000 руб. до вычета налогов
29,Москва,"['Транспорт, логистика']",1–3 года,Водительское удостоверение категории B,от 60 000 руб. на руки
30,Москва,['Высший менеджмент'],более 6 лет,Английский — C1 — Продвинутый Английский язык Поиск и привлечение клиентов Управление проектами Развитие продаж Управление продажами,от 3 000 до 4 500 USD на руки
31,Нижний Новгород,"['Информационные технологии, интернет, телеком']",не требуется,,от 30 000 до 60 000 руб. на руки
32,Санкт-Петербург,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,,от 80 000 до 350 000 руб. на руки
33,Москва,"['Информационные технологии, интернет, телеком']",3–6 лет,Управление проектами Ведение переговоров Заключение договоров MS Project Организаторские навыки,от 150 000 до 200 000 руб. на руки
34,Санкт-Петербург,"['Транспорт, логистика']",1–3 года,Работа в команде Знание устройства автомобиля Деловое общение Водительское удостоверение категории BC,от 100 000 до 130 000 руб. до вычета налогов
35,Москва,"['Административный персонал', 'Продажи']",не требуется,Грамотная речь Телефонные переговоры Электронная почта оформление заказов Консультирование клиентов по телефону Консультирование клиентов Работа с существующей базой клиентов,от 60 000 руб. до вычета налогов
36,Санкт-Петербург,"['Транспорт, логистика']",1–3 года,Работа в команде Ответственность оформление документации Работа на складе Работа на производстве,от 45 000 до 60 000 руб. до вычета налогов
37,Ростов-на-Дону,['Юристы'],более 6 лет,Деловая переписка Заключение договоров Согласование договоров Работа в команде Организаторские навыки Договоры поставки Арбитражные суды,от 60 000 руб. до вычета налогов
38,Москва,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",3–6 лет,Пользователь ПК Работа в команде Организаторские навыки Умение работать в команде Материальная ответственность Пунктуальность Многозадачность Коммуникабельность,от 70 000 до 250 000 руб. на руки
39,Москва,['Административный персонал'],1–3 года,Деловая переписка Работа с большим объемом информации Пользователь ПК Деловое общение Умение работать в команде Делопроизводство MS Outlook Организаторские навыки,от 55 000 руб. на руки
40,Новосибирск,"['Административный персонал', 'Продажи']",не требуется,Работа в команде Грамотная речь оформление заказов входящие звонки,от 50 000 до 100 000 руб. на руки
41,Нижний Новгород,"['Маркетинг, реклама, PR']",не требуется,,от 40 000 до 80 000 руб. на руки
42,Москва,"['Управление персоналом, тренинги']",1–3 года,Штатное расписание Консультирование сотрудников по вопросам трудового законодательства Отчетность в государственные фонды Кадровое делопроизводство Консультант плюс,до 90 000 руб. на руки
43,Иркутск,"['Административный персонал', 'Продажи']",не требуется,Грамотная речь Клиентоориентированность Ориентация на результат входящие звонки исходящие звонки оформление заказов,от 50 000 до 100 000 руб. на руки
44,Санкт-Петербург,['Продажи'],1–3 года,Активные продажи Грамотная речь Телефонные переговоры Навыки продаж Работа в команде,от 170 000 до 350 000 руб. до вычета налогов
45,Санкт-Петербург,"['Информационные технологии, интернет, телеком', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR']",1–3 года,Adobe Photoshop Adobe Illustrator Web-дизайн HTML Графический дизайн Дизайн сайта Figma Sketch,от 70 000 руб. на руки
46,Москва,"['Управление персоналом, тренинги']",более 6 лет,Подбор персонала Адаптация персонала Управление командой Разработка и внедрение системы адаптации Мотивация персонала Обучение и развитие Организационное развитие Управление персоналом Организаторские навыки Оценка персонала,от 90 000 до 130 000 руб. на руки
47,Тверь,['Продажи'],не требуется,,от 26 000 до 36 000 руб. на руки
48,Москва,"['Банки, инвестиции, лизинг', 'Продажи', 'Высший менеджмент']",не требуется,B2B Продажи Управление продажами Развитие продаж Планирование продаж Ведение переговоров CRM Аналитика продаж Обучение персонала Управление проектами Активные продажи Управление персоналом Управление отношениями с клиентами Ориентация на результат Навыки переговоров Навыки продаж Управление работой с ключевыми клиентами Мотивация персонала Командообразование Телефонные переговоры Проведение презентаций Деловая коммуникация Расстановка приоритетов Навыки презентации Обучение команды продаж Системное мышление переговоры с первыми лицами компаний Умение расставлять приоритеты Управление командой Работа в команде Организаторские навыки,от 200 000 до 500 000 руб. на руки
49,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",более 6 лет,Бухгалтерская отчетность Банк-клиент Налоговая отчетность 1С: Предприятие 8 Первичная документация кадровый учет 1C: Бухгалтерия,от 100 000 до 140 000 руб. до вычета налогов
50,Шушары,"['Туризм, гостиницы, рестораны']",не требуется,Работа в команде Грамотная речь Обучение персонала Грамотность Работа с людьми,от 43 500 до 53 500 руб. до вычета налогов
51,Щербинка,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,от 50 000 руб. на руки
52,Санкт-Петербург,['Продажи'],1–3 года,CRM Ведение переговоров Консультативные продажи Навыки продаж Грамотная речь Деловое общение,от 100 000 до 200 000 руб. на руки
53,Москва,['Продажи'],1–3 года,CRM B2B Продажи Навыки работы с возражениями Работа с юридическими лицами,от 70 000 до 130 000 руб. до вычета налогов
54,Москва,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",не требуется,Работа в команде Грамотная речь Работа с людьми,от 47 000 руб. на руки
55,Москва,['Продажи'],не требуется,Ведение переговоров Активные продажи Поиск и привлечение клиентов Работа в команде Телефонные переговоры Навыки переговоров Грамотная речь Развитие продаж Навыки продаж Холодные продажи Работа с людьми,от 70 000 до 120 000 руб. на руки
56,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,SQL Linux Работа с базами данных поддержка пользователей Helpdesk Базы данных Тестирование Jira,от 120 000 до 150 000 руб. на руки
57,Новосибирск,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,Точность и внимательность к деталям Терминалы Сбора Данных Приемка груза Работа в команде,от 45 000 до 70 000 руб. на руки
58,Москва,"['Маркетинг, реклама, PR']",более 6 лет,Гибкость Работа с большим объемом информации Конференции Работа на выставках B2B маркетинг B2C маркетинг Internet Marketing План продвижения Брендинг Запуск нового бренда Позиционирование бренда Информационные сайты Баннерная реклама Запуск федеральных рекламных кампаний Вывод компании на рынок Креативность Трудоспособность Проектная работа Маркетинговая стратегия Маркетинг Конкурентная аналитика Ведение деловой переписки Разработка стратегии,до 200 000 руб. на руки
59,Москва,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Ответственность,от 80 000 до 120 000 руб. на руки
60,Санкт-Петербург,"['Транспорт, логистика']",не требуется,,до 94 300 руб. до вычета налогов
61,Краснодар,['Административный персонал'],1–3 года,Обеспечение жизнедеятельности офиса Управление офисами компании Организация офисного переезда Пользователь ПК Знание 1С Работа в команде Деловое общение Поддержка работы офиса,от 30 000 руб. до вычета налогов
62,Санкт-Петербург,"['Административный персонал', 'Продажи']",1–3 года,Деловая переписка Деловое общение Ведение переговоров Телефонные переговоры Английский язык Пользователь ПК Организаторские навыки Грамотная речь Работа в команде Музыкальное образование Работа с документами пунктуальность Работа с большим объемом информации Event Management Продюсирование Travel Support культурные мероприятия искусствоведение менеджер со знанием английского языка организация концертов,от 55 000 до 72 000 руб. до вычета налогов
63,Челябинск,['Продажи'],1–3 года,,от 45 000 руб. на руки
64,Москва,['Продажи'],не требуется,,от 45 000 до 150 000 руб. на руки
65,Самара,"['Административный персонал', 'Продажи']",не требуется,Работа в команде Грамотная речь Ориентация на результат входящие звонки исходящие звонки оформление заказов,от 50 000 до 100 000 руб. на руки
66,Екатеринбург,['Продажи'],1–3 года,Активные продажи Грамотная речь Планирование продаж Обучение и развитие телефонные продажи Работа с возражениями Деловая переписка Ведение отчетности Работа с существующей базой клиентов Работа с большим объемом информации Ориентация на результат Грамотная письменная речь,от 60 000 до 150 000 руб. на руки
67,Москва,['Безопасность'],не требуется,Умение работать в коллективе Грамотная речь Охрана объекта,от 54 000 до 95 000 руб. на руки
68,Москва,"['Закупки', 'Производство, сельское хозяйство', 'Транспорт, логистика']",3–6 лет,Складской Учет 1С: Торговля и склад 1С: Бухгалтерия 3.0,от 70 000 руб. на руки
69,Хабаровск,"['Информационные технологии, интернет, телеком']",не требуется,Работа с большим объемом информации Телефонные переговоры Многозадачность Эмпатия Желание работать и развиваться,от 57 600 руб. на руки
70,Санкт-Петербург,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,,от 100 000 до 120 000 руб. до вычета налогов
71,Москва,"['Туризм, гостиницы, рестораны', 'Продажи']",не требуется,,от 56 000 руб. до вычета налогов
72,Москва,"['Автомобильный бизнес', 'Рабочий персонал']",не требуется,Английский — A1 — Начальный Знание устройства автомобиля Организация технического обслуживания автомобилей автослесарь Слесарные работы автомеханик диагностика автомобиля,от 50 000 до 150 000 руб. на руки
73,Москва,"['Транспорт, логистика']",более 6 лет,Транспортная логистика Логистика Контроль отгрузок Автомобильные перевозки Международные перевозки Морские перевозки Авиаперевозки,от 80 000 до 130 000 руб. до вычета налогов
74,Санкт-Петербург,"['Административный персонал', 'Продажи']",1–3 года,Активные продажи Грамотная речь Работа в команде Навыки продаж продажа юридических услуг Клиентоориентированность Работа с возражениями CRM B2C продажи Телефонные переговоры Анализ продаж Телемаркетинг Продажи по телефону Деловое общение Назначение встреч Продажи физическим лицам телефонные продажи Продажи,от 80 000 до 120 000 руб. на руки
75,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",не требуется,Пользователь ПК Работа с кассой,от 35 000 до 56 000 руб. на руки
76,Москва,"['Управление персоналом, тренинги']",1–3 года,Подбор персонала Составление предложений о работе Первичная адаптация Телефонное интервью HR Поиск персонала в открытых источниках Подбор сотрудников Работа в команде,от 60 000 до 70 000 руб. на руки
77,Санкт-Петербург,['Продажи'],1–3 года,Ведение переговоров Работа в команде Грамотная речь Ориентация на результат Умение договариваться Желание учиться и развиваться,от 120 000 до 180 000 руб. на руки
78,Ярославль,"['Продажи', 'Маркетинг, реклама, PR']",не требуется,Выкладка товаров Грамотная речь Блочная выкладка товара Android Мерчандайзинг,от 30 000 до 30 000 руб. на руки
79,Ижевск,"['Транспорт, логистика']",1–3 года,Водительское удостоверение категории A Техническое обслуживание Ремонтные работы Водительское удостоверение категории B Проведение тестирований,от 40 000 руб. на руки
80,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,,до 500 000 руб. на руки
81,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,от 50 000 руб. на руки
82,Чебоксары,['Продажи'],1–3 года,Поиск и привлечение клиентов Пользователь ПК Навыки продаж Телефонные переговоры Грамотная речь Клиентоориентированность Консультативные продажи Знание техники продаж Мобильность работа с текущей базой клиентов Активные продажи,от 50 000 до 120 000 руб. на руки
83,Москва,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Пользователь ПК Работа в команде Поиск информации в интернет Работа с большим объемом информации Деловое общение,от 50 000 до 50 000 руб. на руки
84,Москва,"['Искусство, развлечения, масс-медиа']",не требуется,Деловое общение Навыки межличностного общения Публичные выступления Деловой этикет Деловая этика,от 300 000 до 400 000 руб. на руки
85,Москва,"['Банки, инвестиции, лизинг', 'Продажи', 'Высший менеджмент']",3–6 лет,Ведение переговоров Развитие ключевых клиентов B2C продажи Деловое общение Пользователь ПК Деловая переписка Работа в команде Дизайн интерьера Проведение презентаций B2B Продажи Прямые продажи Корпоративные продажи Управление проектами Грамотная речь Заключение договоров Деловая коммуникация Навыки презентации Анализ продаж,от 120 000 руб. на руки
86,Москва,"['Строительство, недвижимость', 'Производство, сельское хозяйство']",1–3 года,,от 90 000 до 100 000 руб. на руки
87,Санкт-Петербург,['Продажи'],не требуется,Ведение клиентской базы Консультация клиентов Активные продажи Умение работать в команде Пользователь ПК Грамотная речь Продажи физическим лицам Заключение договоров Холодные звонки Деловое общение Консультирование клиентов по телефону CRM Холодные продажи Навыки продаж Ориентация на результат Работа в команде Работа с большим объемом информации Телефонные переговоры Принятие решений Поиск и привлечение клиентов Ведение переговоров входящие звонки исходящие звонки Клиентоориентированность Оценка потребностей клиентов Прямые продажи Проведение презентаций MS Outlook Развитие продаж Консультирование,до 150 000 руб. на руки
88,Киров,['Продажи'],1–3 года,Заключение договоров Грамотная речь Прямые продажи Клиентоориентированность Работа с кассой Подготовка коммерческих предложений Работа в команде Составление договоров Работа с клиентами Пользователь ПК,от 40 000 до 100 000 руб. на руки
89,Волгоград,"['Административный персонал', 'Продажи']",не требуется,оформление заказов Консультирование клиентов по телефону Холодные продажи входящие звонки Работа с претензиями,от 27 000 руб. до вычета налогов
90,Санкт-Петербург,['Продажи'],не требуется,Английский язык Грамотная речь Деловое общение Грамотность Навыки межличностного общения,от 125 000 до 247 000 руб. на руки
91,Москва,['Продажи'],1–3 года,Прямые продажи Грамотная речь Корпоративные продажи CRM Работа в команде Деловое общение Google Docs Активные продажи Телефонные переговоры Навыки продаж amoCRM Поиск информации в интернет Ориентация на результат Деловая коммуникация Навыки презентации Оценка потребностей клиентов Планирование карьеры Продажи юридическим лицам,от 120 000 до 200 000 руб. на руки
92,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,,от 40 000 до 60 000 руб. до вычета налогов
93,Санкт-Петербург,"['Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Бухгалтерский учет Финансовая отчетность Управленческая отчетность Российские стандарты бухгалтерского учета Формирование управленческой отчетности,от 85 000 руб. на руки
94,Санкт-Петербург,"['Транспорт, логистика', 'Административный персонал']",1–3 года,Пользователь ПК Диспетчер Грамотная речь Работа в команде,от 36 000 до 52 800 руб. на руки
95,Москва,['Продажи'],1–3 года,Управление персоналом Организаторские навыки Мотивация персонала Управление продажами Ориентация на результат,от 140 000 руб. до вычета налогов
96,Санкт-Петербург,['Продажи'],не требуется,"Работа с клиентами Грамотная устная и письменная речь Умение работать в режиме многозадачности Внимательность, ответственность Делопроизводство",от 45 000 до 70 000 руб. на руки
97,Воронеж,"['Информационные технологии, интернет, телеком']",1–3 года,Грамотная речь Работа в команде Грамотность Организаторские навыки Работа с большим объемом информации Поддержка пользователей,от 31 500 до 38 000 руб. до вычета налогов
98,Санкт-Петербург,['Продажи'],не требуется,Активные продажи Грамотная речь Проведение презентаций Работа с большим объемом информации Подготовка презентаций Ориентация на результат Навыки работы с возражениями Ведение переговоров Холодные продажи Поиск и привлечение клиентов Развитие продаж Телефонные переговоры Прямые продажи,от 60 000 руб. до вычета налогов
99,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Ведение переговоров Управление персоналом Поиск и привлечение клиентов Организаторские навыки Активные продажи B2B Продажи B2C продажи Прямые продажи Холодные продажи Агентские продажи Первичная недвижимость Навыки презентации Подбор недвижимости по запросу клиента продажа недвижимости Продажи физическим лицам Элитная недвижимость Риелторская деятельность Вторичная недвижимость Жилая недвижимость Недвижимость Брокер Брокеридж,от 250 000 до 1 000 000 руб. на руки
100,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,MS Outlook Первичная документация 1С: Бухгалтерия Документооборот Работа с оргтехникой,от 46 000 руб. до вычета налогов
101,Москва,"['Строительство, недвижимость', 'Инсталляция и сервис', 'Производство, сельское хозяйство']",более 6 лет,,от 100 000 руб. до вычета налогов
102,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",не требуется,Работа в команде Грамотная речь Организаторские навыки Деловое общение,от 120 000 до 150 000 руб. на руки
103,Москва,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Английский — B1 — Средний,от 70 000 руб. на руки
104,Москва,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",не требуется,Работа в команде Грамотная речь Точность и внимательность к деталям Умение работать в команде,от 50 000 руб. на руки
105,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Кассовые операции Ведение кассовой книги Приходные и расходные кассовые ордера Проводки по кассовым операциям составление кассовой отчетности,от 70 000 руб. до вычета налогов
106,Москва,"['Продажи', 'Начало карьеры, студенты']",3–6 лет,Управление персоналом Организаторские навыки Подбор персонала Мотивация персонала Обучение персонала,от 120 000 руб. на руки
107,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",1–3 года,сборка мебели Клиентоориентированность Ответственность пунктуальность,от 70 000 до 100 000 руб. на руки
108,Уфа,"['Информационные технологии, интернет, телеком', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR']",1–3 года,Грамотность Пользователь ПК Грамотная речь Английский язык Работа в команде Башкирский язык Работа с большим объемом информации Многозадачность Работа в режиме многозадачности Политический анализ Быстрый набор текста,от 25 000 до 35 000 руб. на руки
109,Санкт-Петербург,['Продажи'],1–3 года,Грамотная речь Активные продажи Деловое общение Деловая переписка Поиск и привлечение клиентов,от 120 000 до 180 000 руб. на руки
110,Москва,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",не требуется,Общественное питание Работа в команде Грамотная речь Консультирование,от 40 000 до 70 000 руб. на руки
111,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,Английский — B1 — Средний Администрирование серверов Windows Администрирование сетевого оборудования Настройка сетевых подключений Информационная безопасность Офисная техника Настройка ПК Настройка ПО Закупка оргтехники и оборудования Контроль доступа Microsoft Access Microsoft Office Microsoft Sql Server Linux Настройка DNS 1С: Предприятие 8 Active Directory Kaspersky Labs SQL Server,от 60 000 до 80 000 руб. на руки
112,Москва,['Продажи'],1–3 года,Развитие продаж Поиск и привлечение клиентов Работа с возражениями Ведение переговоров Клиентоориентированность Ориентация на результат Навыки продаж Навыки работы с возражениями Грамотность телефонные продажи Уверенный пользователь ПК Телефонные переговоры Холодные продажи Холодные звонки Активные продажи Работа в команде Деловое общение Деловая переписка Грамотная речь Работа с большим объемом информации Планирование продаж Умение работать в команде B2C продажи Консультирование клиентов по телефону Заключение договоров,от 90 000 руб. на руки
113,Москва,"['Транспорт, логистика']",3–6 лет,,от 86 000 руб. до вычета налогов
114,Москва,"['Информационные технологии, интернет, телеком']",3–6 лет,SOAP Atlassian Jira SQL REST Docker,от 3 000 до 4 000 EUR на руки
115,Новосибирск,['Продажи'],не требуется,Пользователь ПК Работа с людьми Работа в команде Консультирование клиентов по телефону Грамотная речь,от 32 000 руб. на руки
116,Москва,['Продажи'],1–3 года,Грамотная речь Телефонные переговоры Поиск и привлечение клиентов Работа в команде,от 100 000 до 200 000 руб. на руки
117,Москва,"['Туризм, гостиницы, рестораны']",3–6 лет,,от 100 000 руб. на руки
118,Москва,['Продажи'],не требуется,Грамотная речь Умение работать в команде Деловое общение Телефонные переговоры Продажи входящие звонки Холодные продажи Консультирование клиентов по телефону телефонные продажи Клиентоориентированность Работа с документами Продажи юридическим лицам,от 139 000 руб. на руки
119,Омск,"['Строительство, недвижимость', 'Производство, сельское хозяйство']",1–3 года,Пользователь ПК Ведение отчетности Internet AutoCAD Сопровождение строительства Работа с проектной документацией,от 80 000 руб. на руки
120,Оренбург,['Продажи'],1–3 года,Телефонные переговоры Ведение переговоров Активные продажи Управление отношениями с клиентами Ведение клиентской базы,от 40 000 руб. на руки
121,Краснодар,"['Бухгалтерия, управленческий учет, финансы предприятия', 'Продажи', 'Банки, инвестиции, лизинг']",не требуется,,от 35 000 руб. на руки
122,Москва,"['Информационные технологии, интернет, телеком']",3–6 лет,Cisco Администрирование серверов Linux TCP/IP VMware Python Bash Zabbix Администрирование серверов Windows VPN Redmine Routing Protocols Ubuntu Настройка сетевых подключений Linux Администрирование сетевого оборудования,от 90 000 до 140 000 руб. до вычета налогов
123,Москва,"['Продажи', 'Начало карьеры, студенты']",1–3 года,,от 156 600 руб. до вычета налогов
124,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Первичная бухгалтерская документация 1C: Бухгалтерия 1С: Предприятие 8 MS Outlook Работа с большим объемом информации Заработная плата Отчетность по заработной плате Кассовая документация,от 75 000 руб. на руки
125,Санкт-Петербург,['Продажи'],1–3 года,,от 70 000 до 130 000 руб. на руки
126,Самара,"['Управление персоналом, тренинги']",не требуется,Работа в команде Массовый подбор персонала Деловая коммуникация Телефонное интервью Грамотная речь,от 30 000 руб. до вычета налогов
127,Новосибирск,"['Информационные технологии, интернет, телеком']",не требуется,Администрирование серверов Linux Apache HTTP Server MySQL PHP HTML CSS,от 55 000 до 80 000 руб. на руки
128,Москва,"['Продажи', 'Начало карьеры, студенты']",1–3 года,,от 60 000 руб. до вычета налогов
129,Москва,['Безопасность'],не требуется,,от 60 000 руб. на руки
130,Москва,"['Банки, инвестиции, лизинг', 'Продажи', 'Высший менеджмент']",1–3 года,Активные продажи CRM Прямые продажи Консультирование Пользователь ПК,от 100 000 до 200 000 руб. на руки
131,Тюмень,['Продажи'],1–3 года,Пользователь ПК Работа в команде Грамотная речь Телефонные переговоры Прием и распределение телефонных звонков,от 40 000 до 60 000 руб. на руки
132,Москва,"['Строительство, недвижимость']",3–6 лет,Работа в команде Контроль качества оформление документации Многозадачность Отделка помещений Каменные работы,от 90 000 руб. на руки
133,Москва,"['Маркетинг, реклама, PR']",1–3 года,CRM Программы лояльности Программы лояльности для клиентов Анализ бизнес показателей Формирование индивидуальных планов развития Рассылка сообщений,до 170 000 руб. до вычета налогов
134,Челябинск,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Работа с кассой Работа в команде Грамотная речь 1С: Торговля Клиентоориентированность Обучение и развитие Работа с жалобами клиентов Консультирование,от 37 500 до 50 000 руб. на руки
135,Санкт-Петербург,"['Туризм, гостиницы, рестораны']",1–3 года,Поварское дело Европейская кухня Мангальщик Мангал Горячий цех Холодный цех Азиатская кухня Японская кухня,от 60 000 руб. до вычета налогов
136,Санкт-Петербург,"['Бухгалтерия, управленческий учет, финансы предприятия', 'Продажи', 'Банки, инвестиции, лизинг']",не требуется,Грамотная речь Пользователь ПК Работа с кассой Обслуживание покупателей Работа в команде,от 39 000 до 48 600 руб. до вычета налогов
137,Москва,['Продажи'],1–3 года,AutoCAD Работа в команде Грамотная речь CRM Активные продажи B2B Продажи Корпоративные продажи,от 110 000 руб. на руки
138,Санкт-Петербург,"['Транспорт, логистика']",1–3 года,,от 50 000 до 60 000 руб. на руки
139,Зеленоград,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,Налоговая отчетность Бухгалтерская отчетность 1С: Предприятие 8 Консультант плюс Статистика,от 100 000 руб. до вычета налогов
140,Санкт-Петербург,"['Добыча сырья', 'Строительство, недвижимость', 'Транспорт, логистика', 'Рабочий персонал']",1–3 года,Работа в команде Ориентация на результат Технический контроль производства Контроль качества,от 76 000 руб. до вычета налогов
141,Москва,['Безопасность'],не требуется,Государственные структуры Организаторские навыки Работа в команде Деловое общение Грамотная речь,от 62 000 до 70 000 руб. на руки
